pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
EPT-0A	_R_uce-8138_EPT_C3	1	10000	0.0283582089552238	256	190	6700	468
EPT-0B	_R_uce-8138_EPT_C3	1	10000	0.03046875	256	117	3840	0
EPT-0C	_R_uce-8138_EPT_C3	1	10000	0.022190577904355	256	374	16854	42
EPT-0D	_R_uce-8138_EPT_C3	1	10000	0.0208663497094558	256	79	3786	54
EPT-0E	_R_uce-8138_EPT_C3	1	10000	0.0262152777777777	256	302	11520	0
EPT-0F	_R_uce-8138_EPT_C3	1	10000	0.0244221951904182	256	261	10687	833
EPT-0H	_R_uce-8138_EPT_C3	1	10000	0.0211780277961614	256	32	1511	25
EPT-0I	_R_uce-8138_EPT_C3	1	10000	0.0241212338593974	256	269	11152	368
EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.0289389067524115	256	108	3732	108
EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0327868852459016	244	8	244	12
EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0355731225296442	253	9	253	3
EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0272048364153627	256	306	11248	272
EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0234375	256	36	1536	0
EPT-0A	_R_uce-8354_EPT_C13	1	10000	0.0404135338345864	76	86	2128	0
EPT-0B	_R_uce-8354_EPT_C13	1	10000	0.0324561403508771	76	37	1140	0
EPT-0C	_R_uce-8354_EPT_C13	1	10000	0.0279106858054226	76	140	5016	0
EPT-0D	_R_uce-8354_EPT_C13	1	10000	0.0359649122807017	76	41	1140	0
EPT-0E	_R_uce-8354_EPT_C13	1	10000	0.0269005847953216	76	92	3420	0
EPT-0F	_R_uce-8354_EPT_C13	1	10000	0.0415204678362573	76	142	3420	0
EPT-0H	_R_uce-8354_EPT_C13	1	10000	0.043859649122807	76	20	456	0
EPT-0I	_R_uce-8354_EPT_C13	1	10000	0.0365497076023391	76	125	3420	0
EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.0371352785145888	76	42	1131	9
EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0131578947368421	76	1	76	0
EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0394736842105263	76	3	76	0
EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0317367029091977	76	108	3403	17
EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0460526315789473	76	21	456	0
EPT-0A	_R_uce-9045_EPT_C3	1	10000	0.007760532150776	35	7	902	78
EPT-0B	_R_uce-9045_EPT_C3	1	10000	0.0285714285714285	35	15	525	0
EPT-0C	_R_uce-9045_EPT_C3	1	10000	0.0195712954333644	35	42	2146	164
EPT-0D	_R_uce-9045_EPT_C3	1	10000	0.0	35	0	525	0
EPT-0E	_R_uce-9045_EPT_C3	1	10000	0.0102695763799743	35	16	1558	17
EPT-0F	_R_uce-9045_EPT_C3	1	10000	0.0322822822822822	35	43	1332	243
EPT-0H	_R_uce-9045_EPT_C3	1	10000	0.0	35	0	210	0
EPT-0I	_R_uce-9045_EPT_C3	1	10000	0.0218228498074454	35	34	1558	17
EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.0169851380042462	35	8	471	54
EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0	34	0	34	1
EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0285714285714285	35	1	35	0
EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0142566191446028	35	21	1473	102
EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0142857142857142	35	3	210	0
EPT-0A	_R_uce-9045_EPT_C9	1	10000	0.0023696682464454	93	5	2110	494
EPT-0B	_R_uce-9045_EPT_C9	1	10000	0.003940110323089	93	5	1269	126
EPT-0C	_R_uce-9045_EPT_C9	1	10000	0.0	93	0	5354	784
EPT-0D	_R_uce-9045_EPT_C9	1	10000	0.0	93	0	1263	132
EPT-0E	_R_uce-9045_EPT_C9	1	10000	0.0024089935760171	93	9	3736	449
EPT-0F	_R_uce-9045_EPT_C9	1	10000	0.0	93	0	3539	646
EPT-0H	_R_uce-9045_EPT_C9	1	10000	0.0042283298097251	93	2	473	85
EPT-0I	_R_uce-9045_EPT_C9	1	10000	0.0	93	0	3516	669
EPT-0J	_R_uce-9045_EPT_C9	1	10000	0.0071111111111111	93	8	1125	270
EPT-0L	_R_uce-9045_EPT_C9	1	10000	0.0	72	0	72	21
EPT-0N	_R_uce-9045_EPT_C9	1	10000	0.0224719101123595	89	2	89	4
EPT-0O	_R_uce-9045_EPT_C9	1	10000	0.0045428733674048	93	16	3522	663
EPT-0P	_R_uce-9045_EPT_C9	1	10000	0.010752688172043	93	6	558	0
EPT-0A	_R_uce-9170_EPT_C12	1	10000	0.0088138082996694	107	24	2723	273
EPT-0B	_R_uce-9170_EPT_C12	1	10000	0.0080996884735202	107	13	1605	0
EPT-0C	_R_uce-9170_EPT_C12	1	10000	0.0089692482915717	107	63	7024	38
EPT-0D	_R_uce-9170_EPT_C12	1	10000	0.0107731305449936	107	17	1578	27
EPT-0E	_R_uce-9170_EPT_C12	1	10000	0.011214953271028	107	54	4815	0
EPT-0F	_R_uce-9170_EPT_C12	1	10000	0.011523392486748	107	50	4339	476
EPT-0H	_R_uce-9170_EPT_C12	1	10000	0.0047095761381475	107	3	637	5
EPT-0I	_R_uce-9170_EPT_C12	1	10000	0.0106267620906527	107	49	4611	204
EPT-0J	_R_uce-9170_EPT_C12	1	10000	0.0126742712294043	107	20	1578	27
EPT-0L	_R_uce-9170_EPT_C12	1	10000	0.0186915887850467	107	2	107	0
EPT-0N	_R_uce-9170_EPT_C12	1	10000	0.0093457943925233	107	1	107	0
EPT-0O	_R_uce-9170_EPT_C12	1	10000	0.0079655543595263	107	37	4645	170
EPT-0P	_R_uce-9170_EPT_C12	1	10000	0.0109034267912772	107	7	642	0
EPT-0A	_R_uce-9204_EPT_C12	1	10000	0.0726141078838174	20	35	482	78
EPT-0B	_R_uce-9204_EPT_C12	1	10000	0.0756013745704467	20	22	291	9
EPT-0C	_R_uce-9204_EPT_C12	1	10000	0.0977272727272727	20	129	1320	0
EPT-0D	_R_uce-9204_EPT_C12	1	10000	0.1133333333333333	20	34	300	0
EPT-0E	_R_uce-9204_EPT_C12	1	10000	0.0855555555555555	20	77	900	0
EPT-0F	_R_uce-9204_EPT_C12	1	10000	0.0918727915194346	20	78	849	51
EPT-0H	_R_uce-9204_EPT_C12	1	10000	0.0583333333333333	20	7	120	0
EPT-0I	_R_uce-9204_EPT_C12	1	10000	0.0647820965842167	20	55	849	51
EPT-0J	_R_uce-9204_EPT_C12	1	10000	0.0566666666666666	20	17	300	0
EPT-0L	_R_uce-9204_EPT_C12	1	10000	0.2222222222222222	18	4	18	2
EPT-0N	_R_uce-9204_EPT_C12	1	10000	0.1	20	2	20	0
EPT-0O	_R_uce-9204_EPT_C12	1	10000	0.0911111111111111	20	82	900	0
EPT-0P	_R_uce-9204_EPT_C12	1	10000	0.0666666666666666	20	8	120	0
EPT-0A	uce-10006_EPT_C5	1	10000	0.0138147996170154	269	101	7311	221
EPT-0B	uce-10006_EPT_C5	1	10000	0.0160060975609756	269	63	3936	99
EPT-0C	uce-10006_EPT_C5	1	10000	0.0107469737230587	269	182	16935	819
EPT-0D	uce-10006_EPT_C5	1	10000	0.0142339544513457	269	55	3864	171
EPT-0E	uce-10006_EPT_C5	1	10000	0.0220570012391573	269	267	12105	0
EPT-0F	uce-10006_EPT_C5	1	10000	0.0111626309462476	269	130	11646	459
EPT-0H	uce-10006_EPT_C5	1	10000	0.0204603580562659	269	32	1564	50
EPT-0I	uce-10006_EPT_C5	1	10000	0.0114814497472367	269	134	11671	434
