pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
EPT-0A	EPT-0B	_R_uce-8138_EPT_C3	1	10000	0.0280026990553306	256	332	11856	432
EPT-0F	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0241855873642645	256	588	24312	1288
EPT-0F	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0254306808859721	253	124	4876	244
EPT-0F	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0243381725021349	244	114	4684	436
EPT-0F	EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.02504816955684	256	364	14532	828
EPT-0F	EPT-0I	_R_uce-8138_EPT_C3	1	10000	0.0226633581472291	256	548	24180	1420
EPT-0F	EPT-0H	_R_uce-8138_EPT_C3	1	10000	0.0211065573770491	256	206	9760	480
EPT-0E	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.02265625	256	232	10240	0
EPT-0E	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0254746835443037	256	644	25280	320
EPT-0E	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.025296442687747	253	128	5060	60
EPT-0E	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0258196721311475	244	126	4880	240
EPT-0E	EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.0264550264550264	256	400	15120	240
EPT-0E	EPT-0I	_R_uce-8138_EPT_C3	1	10000	0.0242834394904458	256	610	25120	480
EPT-0E	EPT-0H	_R_uce-8138_EPT_C3	1	10000	0.0226824457593688	256	230	10140	100
EPT-0E	EPT-0F	_R_uce-8138_EPT_C3	1	10000	0.0240454914703493	256	592	24620	980
EPT-0D	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0219816272965879	256	134	6096	48
EPT-0F	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0213241267262388	256	210	9848	392
EPT-0H	EPT-0I	_R_uce-8138_EPT_C3	1	10000	0.0218436873747495	256	218	9980	260
EPT-0H	EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.0223482321547698	256	134	5996	148
EPT-0H	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0195876288659793	244	38	1940	108
EPT-0N	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0272217774219375	253	136	4996	124
EPT-0L	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0215163934426229	244	42	1952	96
EPT-0L	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0254934210526315	244	124	4864	256
EPT-0L	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0248962655601659	241	24	964	60
EPT-0J	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0231481481481481	256	140	6048	96
EPT-0J	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0264423076923076	256	396	14976	384
EPT-0J	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0267737617135207	253	80	2988	84
EPT-0D	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0232589048378522	256	350	15048	312
EPT-0J	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0239071038251366	244	70	2928	144
